attribute_index,attribute_name,attribute_family,eligible,observed_test,positives_test,negatives_test,native_target_ap_mean,aligned_source_ap_mean,unaligned_source_ap_mean,native_source_ap_mean,aligned_minus_native_target_ap
18,has_wing_color::pink,has_wing_color,True,5349,25,5324,0.004905956182131595,0.005128130215442753,0.004306560658616493,0.008179126434451359,0.00022217403331115798
19,has_wing_color::orange,has_wing_color,True,5349,144,5205,0.15095758899399597,0.07802419079995954,0.03857066128549124,0.18862086237231498,-0.07293339819403644
20,has_wing_color::black,has_wing_color,True,5349,2461,2888,0.7604340050206494,0.6727596016542918,0.428386369292992,0.772250680089242,-0.08767440336635757
21,has_wing_color::white,has_wing_color,True,5349,1510,3839,0.5811411421287805,0.5157232443240931,0.2766505763572853,0.6220208025024194,-0.06541789780468743
22,has_wing_color::red,has_wing_color,True,5349,122,5227,0.33103325956193425,0.15033748181481305,0.04387446031208715,0.3413072632591415,-0.1806957777471212
23,has_wing_color::buff,has_wing_color,True,5349,1058,4291,0.5121040789594807,0.44306159669611345,0.2077180676205285,0.5217320749997414,-0.06904248226336729
24,has_upperparts_color::blue,has_upperparts_color,True,5050,301,4749,0.6542146631682081,0.4796894421254808,0.035278823694983925,0.658359534811687,-0.17452522104272727
25,has_upperparts_color::brown,has_upperparts_color,True,5050,1383,3667,0.6551811897142898,0.576331491116117,0.25779956282562005,0.6549704117652292,-0.07884969859817281
26,has_upperparts_color::iridescent,has_upperparts_color,True,5050,149,4901,0.09770713615005291,0.0988176361965677,0.026209636990231905,0.1158248123001551,0.0011105000465147924
27,has_upperparts_color::purple,has_upperparts_color,True,5050,31,5019,0.016522351829882213,0.008632101856214314,0.0044511385791515205,0.01719512081780105,-0.007890249973667898
28,has_upperparts_color::rufous,has_upperparts_color,True,5050,70,4980,0.15504062262398602,0.04876110377382019,0.015048884149062344,0.10773990475697806,-0.10627951885016583
29,has_upperparts_color::grey,has_upperparts_color,True,5050,1711,3339,0.5919476881263928,0.5463708195901781,0.40905424590684164,0.6066982075163657,-0.045576868536214676
30,has_upperparts_color::yellow,has_upperparts_color,True,5050,543,4507,0.5727236622761007,0.5211482167835515,0.08987234944618876,0.594061976020002,-0.05157544549254922
31,has_upperparts_color::olive,has_upperparts_color,True,5050,223,4827,0.29405096263809727,0.196120235210202,0.057508236025753355,0.29837312054739146,-0.09793072742789527
32,has_upperparts_color::green,has_upperparts_color,True,5050,108,4942,0.3363823374676277,0.14625681685199154,0.019683533395467273,0.3291977806411431,-0.19012552061563615
33,has_upperparts_color::pink,has_upperparts_color,False,5050,28,5022,,,,,
34,has_upperparts_color::orange,has_upperparts_color,True,5050,149,4901,0.16723758255676047,0.10007225304839766,0.038575813365644106,0.20609660084025322,-0.0671653295083628
35,has_upperparts_color::black,has_upperparts_color,True,5050,2273,2777,0.7551153912434518,0.676152623683594,0.4034396512722497,0.7634945295964201,-0.07896276755985787
36,has_upperparts_color::white,has_upperparts_color,True,5050,1349,3701,0.5700159910613634,0.49204738892888117,0.2913711665963732,0.6089086223147355,-0.07796860213248219
37,has_upperparts_color::red,has_upperparts_color,True,5050,126,4924,0.3693252509726242,0.2712144825716472,0.06596398898734164,0.39544285176167393,-0.09811076840097699
38,has_upperparts_color::buff,has_upperparts_color,True,5050,997,4053,0.5203480033544488,0.3926173120334125,0.21461870940135325,0.5495070943408444,-0.12773069132103626
39,has_underparts_color::blue,has_underparts_color,True,5234,174,5060,0.5368260361999418,0.3058303559659806,0.026033512620928817,0.5566756825777821,-0.23099568023396122
40,has_underparts_color::brown,has_underparts_color,True,5234,593,4641,0.3754864665352396,0.34595641638148944,0.11477929263169136,0.38600853692733533,-0.029530050153750154
41,has_underparts_color::iridescent,has_underparts_color,True,5234,92,5142,0.09182300853084184,0.09704120049901567,0.024728721524879562,0.11417721256314654,0.00521819196817383
42,has_underparts_color::purple,has_underparts_color,False,5234,24,5210,,,,,
43,has_underparts_color::rufous,has_underparts_color,True,5234,88,5146,0.15719839924982734,0.07672353316276256,0.024044177220326306,0.1458285171897558,-0.08047486608706478
44,has_underparts_color::grey,has_underparts_color,True,5234,1081,4153,0.4667696401139863,0.34515366005490244,0.21044318882437088,0.4887024540340959,-0.12161598005908386
45,has_underparts_color::yellow,has_underparts_color,True,5234,866,4368,0.8533379696284866,0.661273339922379,0.11031634093294111,0.8539217977313953,-0.1920646297061076
