condition,k,attribute_index,rare,query_positives,recall_at_k
native_target,5,267,True,66,0.13636363636363635
native_target,5,270,True,29,0.0
native_target,5,271,True,7,0.0
native_target,5,280,True,53,0.09433962264150944
native_target,5,281,True,17,0.0
native_target,5,282,True,81,0.38271604938271603
native_target,5,285,True,34,0.29411764705882354
native_target,5,286,True,14,0.0
native_target,5,287,True,53,0.1320754716981132
native_target,5,296,True,36,0.2777777777777778
native_target,5,301,True,66,0.4696969696969697
native_target,5,302,True,36,0.2222222222222222
native_target,10,2,True,95,0.43157894736842106
native_target,10,12,True,26,0.07692307692307693
native_target,10,13,True,69,0.5652173913043478
native_target,10,18,True,25,0.04
native_target,10,27,True,31,0.06451612903225806
native_target,10,28,True,70,0.5
native_target,10,33,True,28,0.14285714285714285
native_target,10,41,True,92,0.44565217391304346
native_target,10,42,True,24,0.08333333333333333
native_target,10,43,True,88,0.6704545454545454
native_target,10,47,True,81,0.5679012345679012
native_target,10,48,True,24,0.25
native_target,10,61,True,17,0.11764705882352941
native_target,10,62,True,57,0.5087719298245614
native_target,10,67,True,20,0.0
native_target,10,81,True,63,0.23809523809523808
native_target,10,82,True,16,0.125
native_target,10,83,True,40,0.425
native_target,10,87,True,46,0.391304347826087
native_target,10,88,True,29,0.06896551724137931
native_target,10,107,True,90,0.4
native_target,10,108,True,17,0.11764705882352941
native_target,10,109,True,77,0.5974025974025974
native_target,10,113,True,63,0.4444444444444444
native_target,10,114,True,25,0.12
native_target,10,122,True,88,0.48863636363636365
native_target,10,123,True,28,0.14285714285714285
native_target,10,124,True,74,0.6756756756756757
native_target,10,127,True,88,0.5227272727272727
native_target,10,128,True,60,0.48333333333333334
native_target,10,129,True,26,0.3076923076923077
native_target,10,135,True,56,0.375
native_target,10,137,True,10,0.0
native_target,10,138,True,67,0.5970149253731343
native_target,10,141,True,17,0.0
native_target,10,142,True,3,0.0
native_target,10,143,True,23,0.0
native_target,10,144,True,69,0.463768115942029
native_target,10,148,True,89,0.2808988764044944
native_target,10,155,True,32,0.375
