attribute_index,attribute_name,attribute_family,eligible,observed_test,positives_test,negatives_test,native_target_ap_mean,aligned_source_ap_mean,unaligned_source_ap_mean,native_source_ap_mean,aligned_minus_native_target_ap
17,has_wing_color::green,has_wing_color,True,5349,95,5254,0.24993537159117118,0.22070536003787566,0.023082158387524636,0.23498497735644155,-0.02923001155329552
18,has_wing_color::pink,has_wing_color,True,5349,25,5324,0.00796527653620947,0.006792997384436858,0.003676902329379547,0.006373715358300292,-0.0011722791517726119
19,has_wing_color::orange,has_wing_color,True,5349,144,5205,0.17632065238862804,0.12239522285491247,0.02553423022915685,0.18003143352040127,-0.05392542953371557
20,has_wing_color::black,has_wing_color,True,5349,2461,2888,0.7707849409861003,0.7165718626466437,0.42748177040861773,0.7643738574019345,-0.054213078339456544
21,has_wing_color::white,has_wing_color,True,5349,1510,3839,0.6091210861753033,0.5321273513799776,0.3224316796835522,0.5961941444405037,-0.07699373479532567
22,has_wing_color::red,has_wing_color,True,5349,122,5227,0.30405382707295947,0.2648529371917452,0.025247398354969607,0.34268903387167204,-0.039200889881214285
23,has_wing_color::buff,has_wing_color,True,5349,1058,4291,0.5240423862942682,0.4630074831098406,0.25887394083290605,0.5195372736302193,-0.06103490318442767
24,has_upperparts_color::blue,has_upperparts_color,True,5050,301,4749,0.6676192131424846,0.5972436225159867,0.046928662211974684,0.6565808653427492,-0.0703755906264979
25,has_upperparts_color::brown,has_upperparts_color,True,5050,1383,3667,0.6724340039027065,0.6455889310484647,0.35316028314944725,0.6719019765870284,-0.026845072854241758
26,has_upperparts_color::iridescent,has_upperparts_color,True,5050,149,4901,0.10326712913899676,0.08465093985719549,0.02956921420915758,0.10011622185280637,-0.018616189281801268
27,has_upperparts_color::purple,has_upperparts_color,True,5050,31,5019,0.024830943253511102,0.019110114777272032,0.008863583451653275,0.01714773130696024,-0.00572082847623907
28,has_upperparts_color::rufous,has_upperparts_color,True,5050,70,4980,0.137703913505309,0.1276132345296776,0.011812378137780851,0.14433781289012831,-0.0100906789756314
29,has_upperparts_color::grey,has_upperparts_color,True,5050,1711,3339,0.6251360090186207,0.5749241314679002,0.3371358544518338,0.6122643512134973,-0.05021187755072043
30,has_upperparts_color::yellow,has_upperparts_color,True,5050,543,4507,0.5639186043489398,0.5353908570080399,0.1515623578420992,0.5627596954113523,-0.02852774734089991
31,has_upperparts_color::olive,has_upperparts_color,True,5050,223,4827,0.2752558606821736,0.24591832390071705,0.04405049940741089,0.2739980296336084,-0.029337536781456564
32,has_upperparts_color::green,has_upperparts_color,True,5050,108,4942,0.3061361864723299,0.3400094657435867,0.033427294263455115,0.3342944411771999,0.03387327927125683
33,has_upperparts_color::pink,has_upperparts_color,False,5050,28,5022,,,,,
34,has_upperparts_color::orange,has_upperparts_color,True,5050,149,4901,0.18588238084999031,0.13773817140720954,0.039285374940760065,0.21006822658552524,-0.04814420944278078
35,has_upperparts_color::black,has_upperparts_color,True,5050,2273,2777,0.765976727061734,0.7106067058835347,0.4224359320339225,0.7615755426710968,-0.055370021178199336
36,has_upperparts_color::white,has_upperparts_color,True,5050,1349,3701,0.5955980779582098,0.522152276929512,0.32249877282480427,0.587887183688841,-0.0734458010286978
37,has_upperparts_color::red,has_upperparts_color,True,5050,126,4924,0.38819890653845623,0.3529057470720999,0.024202814334033367,0.36396470536021586,-0.03529315946635636
38,has_upperparts_color::buff,has_upperparts_color,True,5050,997,4053,0.5359988030585905,0.4729698117660653,0.24533062893166857,0.54303389385122,-0.0630289912925252
39,has_underparts_color::blue,has_underparts_color,True,5234,174,5060,0.5557885818319719,0.5006651475546052,0.028473175319927085,0.5331596829782222,-0.055123434277366656
40,has_underparts_color::brown,has_underparts_color,True,5234,593,4641,0.40408610228450675,0.32072667446504954,0.12827628685606318,0.3793382967135389,-0.08335942781945721
41,has_underparts_color::iridescent,has_underparts_color,True,5234,92,5142,0.10742679915341306,0.0832333325451087,0.01994780496668469,0.10743521147057826,-0.024193466608304362
42,has_underparts_color::purple,has_underparts_color,False,5234,24,5210,,,,,
43,has_underparts_color::rufous,has_underparts_color,True,5234,88,5146,0.18082584724780085,0.12771769280287543,0.016172614350251375,0.14640697975786887,-0.05310815444492542
44,has_underparts_color::grey,has_underparts_color,True,5234,1081,4153,0.4787804152421794,0.4283406705205797,0.23293607455510784,0.47643987371666174,-0.05043974472159968
45,has_underparts_color::yellow,has_underparts_color,True,5234,866,4368,0.8641381866733813,0.8029965012310172,0.1959033099126435,0.8537966164651083,-0.06114168544236409
46,has_underparts_color::olive,has_underparts_color,True,5234,132,5102,0.30231944446514414,0.24565237905564138,0.02665815286320658,0.26434002915247856,-0.056667065409502754
47,has_underparts_color::green,has_underparts_color,True,5234,81,5153,0.18006398541726182,0.17795812540648762,0.02026568624249046,0.19504488348134724,-0.002105860010774202
48,has_underparts_color::pink,has_underparts_color,True,5234,24,5210,0.011122631790682444,0.007839725407397326,0.0047189712370921425,0.012372350388146778,-0.0032829063832851176
49,has_underparts_color::orange,has_underparts_color,True,5234,189,5045,0.3145638390837449,0.262149848492898,0.04162492450422981,0.35347659636620193,-0.05241399059084689
50,has_underparts_color::black,has_underparts_color,True,5234,1024,4210,0.6683321383308896,0.6159571598036908,0.15549750242555663,0.6733971528456862,-0.052374978527198746
51,has_underparts_color::white,has_underparts_color,True,5234,2267,2967,0.7954252344320489,0.7531876215192996,0.4340259876455087,0.7866598608558428,-0.0422376129127493
52,has_underparts_color::red,has_underparts_color,True,5234,211,5023,0.687225315107675,0.5807078675857609,0.03473220412172925,0.6704929373949314,-0.10651744752191417
