attribute_index,attribute_name,attribute_family,eligible,observed_test,positives_test,negatives_test,native_target_ap_mean,aligned_source_ap_mean,unaligned_source_ap_mean,native_source_ap_mean,aligned_minus_native_target_ap
56,has_breast_pattern::striped,has_breast_pattern,True,5265,682,4583,0.4316323508784656,0.39900172366281544,0.14485859588613376,0.40742534497051325,-0.03263062721565013
57,has_breast_pattern::multi-colored,has_breast_pattern,True,5265,1118,4147,0.3583350430592471,0.3446951930405556,0.2516404524336402,0.3497962007892085,-0.013639850018691502
58,has_back_color::blue,has_back_color,True,4530,249,4281,0.6590462418924188,0.6560201033558183,0.040990113136862676,0.6549203945908213,-0.003026138536600498
59,has_back_color::brown,has_back_color,True,4530,1105,3425,0.6540724888730471,0.6339305442895738,0.32417360279663177,0.6440613330250644,-0.020141944583473292
60,has_back_color::iridescent,has_back_color,True,4530,102,4428,0.10993937186555891,0.10219909509426273,0.027309120212762134,0.10200502842768104,-0.007740276771296184
61,has_back_color::purple,has_back_color,True,4530,17,4513,0.01473904905447129,0.007200047892333132,0.0043238388496852995,0.010010473323426455,-0.007539001162138157
62,has_back_color::rufous,has_back_color,True,4530,57,4473,0.2072409713320656,0.16967227300328894,0.009725487644044276,0.17889086157799325,-0.037568698328776656
63,has_back_color::grey,has_back_color,True,4530,1427,3103,0.6156731510892626,0.5802572975841512,0.30549238714617005,0.6051408137957801,-0.03541585350511134
64,has_back_color::yellow,has_back_color,True,4530,422,4108,0.5910365497131169,0.5862442878790157,0.15766511080393755,0.5726427715742213,-0.004792261834101197
65,has_back_color::olive,has_back_color,True,4530,196,4334,0.30520989551467864,0.3209866051642579,0.04716634920256314,0.323425064279902,0.01577670964957928
66,has_back_color::green,has_back_color,True,4530,87,4443,0.2851569014158229,0.2958883723072772,0.02428752221648788,0.3041295547185932,0.01073147089145432
67,has_back_color::pink,has_back_color,True,4530,20,4510,0.0049124176228580495,0.010403100381165011,0.004333852239687308,0.00936498189220008,0.005490682758306962
68,has_back_color::orange,has_back_color,True,4530,94,4436,0.23743550591284,0.17872688314252366,0.021176544218725734,0.16480056072436552,-0.05870862277031633
69,has_back_color::black,has_back_color,True,4530,1663,2867,0.754852196794097,0.7500415264338607,0.37312210388977246,0.7541377774942578,-0.004810670360236302
70,has_back_color::white,has_back_color,True,4530,893,3637,0.5818597887367213,0.5547159808610249,0.2664260457490021,0.5593597126723515,-0.02714380787569637
71,has_back_color::red,has_back_color,True,4530,103,4427,0.4367656164541202,0.44431341393893,0.01978730674751396,0.4419228635731689,0.007547797484809771
72,has_back_color::buff,has_back_color,True,4530,841,3689,0.49976205644930866,0.4753003387626243,0.2309944674105567,0.5002105983235771,-0.02446171768668437
73,has_tail_shape::forked_tail,has_tail_shape,True,4586,198,4388,0.18080721491332308,0.16386373038873306,0.03658404112239808,0.16119777500697513,-0.01694348452459002
74,has_tail_shape::rounded_tail,has_tail_shape,True,4586,652,3934,0.19105795324554592,0.18627286050142225,0.1495066823126701,0.19012712983386756,-0.00478509274412367
75,has_tail_shape::notched_tail,has_tail_shape,True,4586,1715,2871,0.5013449386411886,0.4878271007006975,0.4457169407422524,0.4924397403108056,-0.013517837940491051
76,has_tail_shape::fan-shaped_tail,has_tail_shape,True,4586,436,4150,0.20320909649497754,0.1974639955811393,0.09425515209738872,0.19692034288425572,-0.00574510091383823
77,has_tail_shape::pointed_tail,has_tail_shape,True,4586,1048,3538,0.2946352036454261,0.2846087336313537,0.24340426277519028,0.2811693801413641,-0.01002647001407242
78,has_tail_shape::squared_tail,has_tail_shape,True,4586,537,4049,0.17401656657838518,0.168838641688045,0.11323942886300967,0.1655479825977787,-0.005177924890340191
79,has_upper_tail_color::blue,has_upper_tail_color,True,3855,214,3641,0.6311027195617089,0.6051659977404997,0.05283902333035835,0.6114551370480669,-0.025936721821209208
80,has_upper_tail_color::brown,has_upper_tail_color,True,3855,828,3027,0.5805472893766634,0.5618143047949511,0.2562157361652356,0.5694814494653953,-0.018732984581712353
81,has_upper_tail_color::iridescent,has_upper_tail_color,True,3855,63,3792,0.07954505735794484,0.07674589003234569,0.017721242648799644,0.07247046312373365,-0.00279916732559915
82,has_upper_tail_color::purple,has_upper_tail_color,False,3855,16,3839,,,,,
83,has_upper_tail_color::rufous,has_upper_tail_color,True,3855,40,3815,0.12977444003384853,0.10910148474084758,0.008559270029904479,0.09719932731167522,-0.02067295529300095
84,has_upper_tail_color::grey,has_upper_tail_color,True,3855,1070,2785,0.5026052242048656,0.46847162200228504,0.2725398031161526,0.4919206767556309,-0.034133602202580604
85,has_upper_tail_color::yellow,has_upper_tail_color,True,3855,258,3597,0.3940850197175237,0.3938371480646896,0.08047547827938853,0.3940424800911776,-0.0002478716528340752
86,has_upper_tail_color::olive,has_upper_tail_color,True,3855,131,3724,0.25475286053287116,0.24712108413719208,0.031113163994104204,0.2505953164206553,-0.00763177639567908
87,has_upper_tail_color::green,has_upper_tail_color,True,3855,46,3809,0.12814180444056694,0.16403212201962075,0.011460115824631809,0.13343905990909405,0.03589031757905381
88,has_upper_tail_color::pink,has_upper_tail_color,True,3855,29,3826,0.008983218683252319,0.009839640758625728,0.007662117879480975,0.009120558584932912,0.0008564220753734097
89,has_upper_tail_color::orange,has_upper_tail_color,True,3855,87,3768,0.11844052931735508,0.13440952408743614,0.023450303853340564,0.14055607616680638,0.01596899477008107
90,has_upper_tail_color::black,has_upper_tail_color,True,3855,1480,2375,0.7422176987065461,0.7313315986952946,0.37097861350729594,0.731220771326363,-0.010886100011251454
91,has_upper_tail_color::white,has_upper_tail_color,True,3855,730,3125,0.5425854086285782,0.5320722890947893,0.26241369124151015,0.541951396871588,-0.010513119533788862
92,has_upper_tail_color::red,has_upper_tail_color,True,3855,83,3772,0.5080952512548085,0.4833627449377504,0.019970026384756413,0.5018478430324038,-0.02473250631705809
93,has_upper_tail_color::buff,has_upper_tail_color,True,3855,631,3224,0.468086424612454,0.44171531563878946,0.22359361010500653,0.45723335981071145,-0.026371108973664514
94,has_head_pattern::spotted,has_head_pattern,True,5592,159,5433,0.17799548343903387,0.16898808189120573,0.03156100288966095,0.15037922467315354,-0.009007401547828142
95,has_head_pattern::malar,has_head_pattern,True,5592,558,5034,0.15801296555884978,0.14882434810035736,0.10792185915443994,0.15779632472257604,-0.00918861745849242
96,has_head_pattern::crested,has_head_pattern,True,5592,227,5365,0.2438109495750572,0.2512391467770524,0.044443172140223544,0.24163155965248867,0.007428197201995196
97,has_head_pattern::masked,has_head_pattern,True,5592,252,5340,0.13435535993447084,0.1276942861036222,0.04340563463876947,0.12294079694487348,-0.0066610738308486295
98,has_head_pattern::unique_pattern,has_head_pattern,True,5592,185,5407,0.09910700608526782,0.0964333288591784,0.034642949412828826,0.10051301820634775,-0.0026736772260894243
99,has_head_pattern::eyebrow,has_head_pattern,True,5592,708,4884,0.3751455910161571,0.3465679563017589,0.2632450351679368,0.33526222346890877,-0.02857763471439817
100,has_head_pattern::eyering,has_head_pattern,True,5592,926,4666,0.2735592989635369,0.273346278898452,0.16474400811888973,0.27277859512069347,-0.00021302006508494564
101,has_head_pattern::plain,has_head_pattern,True,5592,1537,4055,0.5816749461066355,0.590013334683422,0.32855054622154894,0.5882166038577606,0.008338388576786482
102,has_head_pattern::eyeline,has_head_pattern,True,5592,670,4922,0.21401361879333475,0.22173602576110624,0.11473071251943498,0.22928563830940232,0.007722406967771489
103,has_head_pattern::striped,has_head_pattern,True,5592,392,5200,0.21963802148978617,0.2267023668646,0.06825979546120359,0.22477211176167256,0.0070643453748138185
104,has_head_pattern::capped,has_head_pattern,True,5592,668,4924,0.2629051365321665,0.2583127799331192,0.10877387045596891,0.2673163094058282,-0.004592356599047331
105,has_breast_color::blue,has_breast_color,True,5317,178,5139,0.6356010434962629,0.6005352439120601,0.0281508302396781,0.6266773536114706,-0.03506579958420275
106,has_breast_color::brown,has_breast_color,True,5317,639,4678,0.4195024325438445,0.3831043053865953,0.12165607093165995,0.4114129244286775,-0.036398127157249216
107,has_breast_color::iridescent,has_breast_color,True,5317,90,5227,0.15008932153494473,0.11247121416487638,0.01478280895931639,0.12168449502543224,-0.03761810737006835
108,has_breast_color::purple,has_breast_color,False,5317,17,5300,,,,,
109,has_breast_color::rufous,has_breast_color,True,5317,77,5240,0.11642337992579392,0.10743707592586374,0.010772663630702346,0.11379902632994039,-0.008986303999930181
110,has_breast_color::grey,has_breast_color,True,5317,1084,4233,0.47724959052207233,0.4801274548047548,0.23278234433677464,0.49489212302925517,0.0028778642826824963
111,has_breast_color::yellow,has_breast_color,True,5317,794,4523,0.8604207786914462,0.8464112161780806,0.15771232386644843,0.8541051605536317,-0.014009562513365603
112,has_breast_color::olive,has_breast_color,True,5317,104,5213,0.29378681260020334,0.29476015403047245,0.021171642472983435,0.27802381756161154,0.0009733414302691146
113,has_breast_color::green,has_breast_color,True,5317,63,5254,0.12307312835851321,0.12545721149452052,0.013243395426298196,0.1594585319560456,0.0023840831360073117
114,has_breast_color::pink,has_breast_color,True,5317,25,5292,0.008521777606954462,0.008077019845777128,0.006869884620877169,0.011276206752002922,-0.00044475776117733345
115,has_breast_color::orange,has_breast_color,True,5317,170,5147,0.2667812276258582,0.2688375777886489,0.0411022892843844,0.26913628376489174,0.00205635016279071
116,has_breast_color::black,has_breast_color,True,5317,1176,4141,0.6648155017760857,0.6617652383229131,0.17758607935653434,0.6663642640717248,-0.003050263453172608
